artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
reba mcentire,4,1986,2019,"Best Country Album | Best Country Vocal Collaboration | Best Country Vocal Performance, Female | Best Roots Gospel Album"
"reba rambo, dony mcguire, b.j. thomas, andrae crouch, walter hawkins, tramaine hawkins, cynthia clawson, the archers",1,1980,1980,"Best Gospel Performance, Contemporary Or Inspirational"
rebecca st. james,1,1999,1999,Best Rock Gospel Album
rebirth brass band,2,2011,2019,Best Regional Roots Music Album
red hot chili peppers,3,1992,2006,Best Hard Rock Performance With Vocal | Best Rock Album | Best Rock Performance By A Duo Or Group With Vocal
residente,1,2017,2017,"Best Latin Rock, Urban Or Alternative Album"
rhiannon giddens,1,2019,2019,Best American Roots Performance
rhonda vincent and the rage,1,2017,2017,Best Bluegrass Album
ricardo montaner,1,2019,2019,Best Latin Pop Album
richard burton,1,1975,1975,Best Recording For Children
richard harris,1,1973,1973,Best Spoken Word Recording
richard kaufman,1,1992,1992,Best Pop Instrumental Performance
richard pryor,5,1974,1982,Best Comedy Recording
rick springfield,1,1981,1981,"Best Rock Vocal Performance, Male"
rickie lee jones,1,1979,1979,Best New Artist
ricky kej,1,2014,2014,Best New Age Album
ricky martin,2,1998,2015,Best Latin Pop Album | Best Latin Pop Performance
ricky skaggs,9,1984,2008,"Best Bluegrass Album | Best Country Instrumental Performance | Best Country Instrumental Performance (Orchestra, Group Or Soloist) | Best Country Performance By A Duo Or Group With Vocal | Best Southern, Country, Or Bluegrass Gospel Album"
ricky skaggs and kentucky thunder,1,2006,2006,Best Bluegrass Album
"ricky skaggs, steve wariner",1,1991,1991,Best Country Vocal Collaboration
riders in the sky,2,2000,2002,Best Musical Album For Children
rihanna,4,2007,2013,Best Dance Recording | Best Rap/Sung Collaboration | Best Short Form Music Video | Best Urban Contemporary Album
rita moreno,1,1972,1972,Best Recording For Children
rival sons,2,2019,2019,Best Rock Album | Best Rock Performance
rob mcconnell,1,1983,1983,"Best Jazz Instrumental Performance, Big Band"
"robert cray, albert collins",1,1986,1986,Best Traditional Blues Recording
robert glasper experiment,2,2012,2014,Best R&B Album | Best Traditional R&B Performance
robert guillaume,1,1994,1994,Best Spoken Word Album For Children
robert palmer,2,1986,1988,"Best Rock Vocal Performance, Male"
robert plant,6,2007,2008,Album Of The Year | Best Contemporary Folk/Americana Album | Best Country Collaboration With Vocals | Best Pop Collaboration With Vocals | Record Of The Year
robert randolph,1,2019,2019,Best Contemporary Blues Album
roberta flack,3,1972,1973,"Best Pop Vocal Performance, Female | Record Of The Year"
roberto blades,1,2001,2001,Best Salsa Album
roberto carlos,1,1988,1988,Best Latin Pop Performance
robin williams,5,1979,2002,Best Comedy Recording | Best Recording For Children | Best Spoken Comedy Album
rockin' sidney,1,1985,1985,Best Ethnic Or Traditional Folk Recording
rod mckuen,1,1968,1968,Best Spoken Word Recording
rod stewart,1,2004,2004,Best Traditional Pop Vocal Album
rodney dangerfield,1,1980,1980,Best Comedy Recording
rodrigo y gabriela,1,2019,2019,Best Contemporary Instrumental Album
roger miller,8,1964,1965,Best Contemporary (R&R) Single | Best Contemporary (R&R) Vocal Performance - Male | Best Country & Western Album | Best Country & Western Single | Best Country & Western Vocal Performance - Male
"ron carter, herbie hancock, wallace roney, wayne shorter",1,1994,1994,"Best Jazz Instrumental Performance, Individual Or Group"
ronnie milsap,6,1974,1987,"Best Country Vocal Performance, Duet | Best Country Vocal Performance, Male | Best Country Vocal Solo Performance, Male"
rosalía,1,2019,2019,"Best Latin Rock, Urban Or Alternative Album"
rosanne cash,3,1985,2014,"Best American Roots Performance | Best Americana Album | Best Country Vocal Performance, Female"
roy clark,1,1982,1982,Best Country Instrumental Performance
roy hargrove's crisol,1,1997,1997,Best Latin Jazz Performance
roy orbison,2,1988,1990,"Best Country Vocal Collaboration | Best Pop Vocal Performance, Male"
ruben ramos,1,2008,2008,Best Tejano Album
rubén blades,6,1986,2014,Best Latin Pop Album | Best Latin Pop Performance | Best Tropical Latin Performance | Best World Music Album
rubén blades con roberto delgado,2,2015,2017,Best Tropical Latin Album
rufus,2,1974,1983,"Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance By A Duo, Group Or Chorus"
russ taff,2,1983,1991,"Best Gospel Performance, Male | Best Rock/Contemporary Gospel Album"
ruth brown,1,1989,1989,"Best Jazz Vocal Performance, Female"
ry cooder,3,1993,2003,Best Pop Instrumental Album | Best Tropical Latin Performance | Best World Music Album
ryan bingham,1,2010,2010,"Best Song Written For Motion Picture, Television Or Other Visual Media"
rüfüs du sol,2,2019,2019,Best Dance Recording | Best Dance/Electronic Album
sade,3,1993,2010,Best Pop Vocal Album | Best R&B Performance By A Duo Or Group With Vocal | Best R&B Performance By A Duo Or Group With Vocals
salt-n-pepa,1,1994,1994,Best Rap Performance By A Duo Or Group
sam and dave,1,1967,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental"
sam kinison,1,1994,1994,Best Spoken Comedy Album
sam smith,2,2014,2014,Best Pop Vocal Album | Record Of The Year
sammi smith,1,1971,1971,"Best Country Vocal Performance, Female"
sandi patti,5,1983,1990,"Best Gospel Performance By A Duo Or Group | Best Gospel Performance By A Duo Or Group, Choir Or Chorus | Best Gospel Performance, Female | Best Pop Gospel Album"
sandra crouch,1,1983,1983,"Best Soul Gospel Performance, Female"
santana,9,1999,2002,Album Of The Year | Best Pop Collaboration With Vocals | Best Pop Instrumental Performance | Best Pop Performance By A Duo Or Group With Vocal | Best Rock Album | Best Rock Instrumental Performance | Best Rock Performance By A Duo Or Group With Vocal | Record Of The Year
sara bareilles,1,2019,2019,Best American Roots Performance
sara gazarek,1,2019,2019,Best Jazz Vocal Album
sarah jarosz,2,2016,2016,Best American Roots Performance | Best Folk Album
sarah mclachlan,3,1997,1999,Best Female Pop Vocal Performance | Best Pop Instrumental Performance
sarah vaughan,1,1982,1982,"Best Jazz Vocal Performance, Female"
seal,2,1995,1995,Best Male Pop Vocal Performance | Record Of The Year
sean paul,1,2003,2003,Best Reggae Album
sebastian plano,1,2019,2019,Best New Age Album
sebastian yatra,1,2019,2019,Best Latin Pop Album
secret agent 23 skidoo,1,2016,2016,Best Children'S Album
sekou andrews,1,2019,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
selena,1,1993,1993,Best Mexican-American Album
senator barack obama,1,2005,2005,Best Spoken Word Album
sergio mendes,1,1992,1992,Best World Music Album
shabba ranks,2,1991,1992,Best Reggae Album
shadowfax,1,1988,1988,Best New Age Performance
shaggy,1,1995,1995,Best Reggae Album
shakira,3,2000,2017,Best Latin Pop Album | Best Latin Rock/Alternative Album
shania twain,3,1995,1999,Best Country Album | Best Female Country Vocal Performance
shawn colvin,2,1990,1997,Best Contemporary Folk Recording | Record Of The Year
shawn mendes,1,2019,2019,Best Pop Duo/Group Performance
shel silverstein,1,1984,1984,Best Recording For Children
shelley berman,1,1959,1959,Best Comedy Performance - Spoken Word
shenandoah,1,1995,1995,Best Country Collaboration With Vocals
sheryl crow,8,1994,2002,Best Female Pop Vocal Performance | Best Female Rock Vocal Performance | Best Rock Album | Record Of The Year
shirley caesar,10,1971,2000,"Best Soul Gospel Performance | Best Soul Gospel Performance By A Duo Or Group | Best Soul Gospel Performance, Contemporary | Best Soul Gospel Performance, Female | Best Traditional Soul Gospel Album"
shirley horn,1,1998,1998,Best Jazz Vocal Performance
si zentner,1,1961,1961,Best Performance By An Orchestra - For Dancing
sidney poitier,1,2000,2000,Best Spoken Word Album
siedah garrett,1,2007,2007,"Best Song Written For Motion Picture, Television Or Other Visual Media"
silk city,1,2018,2018,Best Dance Recording
silver convention,1,1975,1975,Best R&B Instrumental Performance
simon and garfunkel,4,1968,1970,Album Of The Year | Best Contemporary Pop Performance - Vocal Duo Or Group | Record Of The Year
sinéad o'connor,1,1990,1990,Best Alternative Music Performance
sir mix-a-lot,1,1992,1992,Best Rap Solo Performance
skrillex,4,2011,2012,Best Dance Recording | Best Dance/Electronica Album
skrillex and diplo,2,2015,2015,Best Dance Recording | Best Dance/Electronic Album
"skrillex, boys noize",1,2019,2019,Best Dance Recording
slayer,2,2006,2007,Best Metal Performance
slipknot,1,2005,2005,Best Metal Performance
sly,1,2019,2019,Best Reggae Album
sly and robbie,1,1998,1998,Best Reggae Album
smokey robinson,1,1987,1987,"Best R&B Vocal Performance, Male"
smokie norful,1,2004,2004,Best Contemporary Soul Gospel Album
snarky puppy,3,2013,2016,Best Contemporary Instrumental Album | Best R&B Performance
soeur sourire,1,1963,1963,Best Gospel Or Other Religious Recording (Musical)
solange,1,2016,2016,Best R&B Performance
solido,1,2001,2001,Best Tejano Album
solomon burke,1,2002,2002,Best Contemporary Blues Album
sonny rollins,1,2001,2001,"Best Jazz Instrumental Album, Individual Or Group"
soul ii soul,2,1989,1989,Best R&B Instrumental Performance | Best R&B Performance By A Duo Or Group With Vocal
soundgarden,2,1994,1994,Best Hard Rock Performance | Best Metal Performance
southern avenue,1,2019,2019,Best Contemporary Blues Album
soweto gospel choir,3,2006,2018,Best Traditional World Music Album | Best World Music Album
spanish harlem orchestra,3,2004,2018,Best Salsa/Merengue Album | Best Tropical Latin Album
st. vincent,1,2014,2014,Best Alternative Music Album
stan freberg,1,1958,1958,"Best Performance, Documentary Or Spoken Word"
stan getz,4,1962,1964,Album Of The Year | Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group | Best Jazz Performance - Soloist Or Small Group (Instrumental) | Record Of The Year
stan kenton,2,1961,1962,Best Jazz Performance - Large Group (Instrumental)
steel pulse,2,1986,2019,Best Reggae Album | Best Reggae Recording
steely dan,3,2000,2000,Album Of The Year | Best Pop Performance By A Duo Or Group With Vocal | Best Pop Vocal Album
steep canyon rangers,1,2012,2012,Best Bluegrass Album
stephanie mills,1,1980,1980,"Best R&B Vocal Performance, Female"
stephen colbert,2,2009,2013,"Best Comedy Album | Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
stephen marley,3,2007,2011,Best Reggae Album
"sterling holloway, sebastian cabot",1,1974,1974,Best Recording For Children
steve earle,3,2004,2009,Best Contemporary Folk Album | Best Contemporary Folk/Americana Album
steve gadd band,1,2018,2018,Best Contemporary Instrumental Album
steve goodman,1,1987,1987,Best Contemporary Folk Recording
steve lacy,1,2019,2019,Best Urban Contemporary Album
steve mandell,1,1973,1973,Best Country Instrumental Performance
steve martin,3,1977,2009,Best Bluegrass Album | Best Comedy Recording
steve vai,1,1993,1993,Best Rock Instrumental Performance
steve wariner,1,2009,2009,Best Country Instrumental Performance
steve winwood,2,1986,1986,"Best Pop Vocal Performance, Male | Record Of The Year"
steven curtis chapman,6,1991,2019,Best Pop Gospel Album | Best Pop/Contemporary Gospel Album | Best Roots Gospel Album
stevie ray vaughan,3,1989,1992,Best Contemporary Blues Album | Best Contemporary Blues Recording | Best Rock Instrumental Performance
stevie wonder,14,1973,2005,"Album Of The Year | Best Male Pop Vocal Performance | Best Male R&B Vocal Performance | Best Pop Vocal Performance, Male | Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance, Male"
sting,10,1983,2018,"Best Male Pop Vocal Performance | Best Music Video, Long Form | Best Music Video-Long Form | Best Pop Album | Best Pop Collaboration With Vocals | Best Pop Vocal Performance, Male | Best Reggae Album | Best Rock Instrumental Performance"
stone temple pilots,1,1993,1993,Best Hard Rock Performance With Vocal
sturgill simpson,1,2016,2016,Best Country Album
sugaray rayford,1,2019,2019,Best Contemporary Blues Album
sugarland,1,2008,2008,Best Country Performance By A Duo Or Group With Vocals
supersax,1,1973,1973,Best Jazz Performance By A Group
survivor,1,1982,1982,Best Rock Performance By A Duo Or Group With Vocal
switchfoot,1,2010,2010,Best Rock Or Rap Gospel Album
system of a down,1,2005,2005,Best Hard Rock Performance
"t bone burnett, taylor swift, john paul white",1,2012,2012,Best Song Written For Visual Media
t-bone walker,1,1970,1970,Best Ethnic Or Traditional Recording (Including Traditional Blues)
t.i.,1,2006,2006,Best Rap Solo Performance
taj mahal,3,1997,2017,Best Contemporary Blues Album
take 6,7,1988,1997,"Best Contemporary Soul Gospel Album | Best Gospel Vocal Performance By A Duo, Group, Choir Or Chorus | Best Jazz Vocal Performance | Best Jazz Vocal Performance, Duo Or Group | Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus"
tammy wynette,2,1967,1969,"Best Country & Western Solo Vocal Performance, Female | Best Country Vocal Performance, Female"
tanya goodman,1,1989,1989,Best Recording For Children
tanya tucker,2,2019,2019,Best Country Album | Best Country Solo Performance
taron egerton,1,2019,2019,Best Compilation Soundtrack For Visual Media
tasha cobbs,1,2013,2013,Best Gospel/Contemporary Christian Music Performance
taylor swift,9,2009,2019,Album Of The Year | Best Country Album | Best Country Solo Performance | Best Female Country Vocal Performance | Best Music Video | Best Pop Solo Performance | Best Pop Vocal Album
ted nash big band,1,2016,2016,Best Large Jazz Ensemble Album
tedeschi trucks band,1,2011,2011,Best Blues Album
tenacious d,1,2014,2014,Best Metal Performance
tennessee ernie ford,1,1964,1964,Best Gospel Or Other Religious Recording (Musical)
terence blanchard,1,2007,2007,Best Large Jazz Ensemble Album
terence trent d'arby,1,1988,1988,"Best R&B Vocal Performance, Male"
terrance simien,2,2007,2013,Best Regional Roots Music Album | Best Zydeco Or Cajun Music Album
terraza big band,1,2019,2019,Best Large Jazz Ensemble Album
terri lyne carrington,2,2011,2013,Best Jazz Instrumental Album | Best Jazz Vocal Album
texas tornados,1,1990,1990,Best Mexican-American Performance
thad jones,1,1978,1978,"Best Jazz Instrumental Performance, Big Band"
thalma de freitas,1,2019,2019,Best Latin Jazz Album
that was the week that was,1,1964,1964,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)"
the allman brothers band,1,1995,1995,Best Rock Instrumental Performance
the art of noise,1,1986,1986,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)"
the band perry,1,2014,2014,Best Country Duo/Group Performance
the beatles,7,1964,2016,"Album Of The Year | Best Contemporary Album | Best Music Film | Best Music Video, Long Form | Best Music Video, Short Form | Best Performance By A Vocal Group | Best Pop Performance By A Duo Or Group With Vocal"
the bill gaither trio,2,1973,1975,Best Inspirational Performance
the black eyed peas,6,2004,2009,Best Pop Performance By A Duo Or Group With Vocal | Best Pop Performance By A Duo Or Group With Vocals | Best Pop Vocal Album | Best Rap Performance By A Duo Or Group | Best Short Form Music Video
the black keys,3,2010,2012,Best Rock Album | Best Rock Performance | Best Rock Performance By A Duo Or Group With Vocals
the blind boys of alabama,4,2001,2008,Best Traditional Gospel Album | Best Traditional Soul Gospel Album
the bob florence limited edition,1,1999,1999,Best Large Jazz Ensemble Performance
the brian lynch/eddie palmieri project,1,2006,2006,Best Latin Jazz Album
the brian setzer orchestra,3,1998,2000,Best Pop Instrumental Performance | Best Pop Performance By A Duo Or Group With Vocal
the carters,1,2018,2018,Best Urban Contemporary Album
the chainsmokers,1,2016,2016,Best Dance Recording
the champs,1,1958,1958,Best Rhythm & Blues Performance
the charlie daniels band,1,1979,1979,Best Country Vocal Performance By A Duo Or Group
the chemical brothers,7,1997,2019,Best Dance Recording | Best Dance/Electronic Album | Best Electronic/Dance Album | Best Music Video | Best Rock Instrumental Performance
the chieftains,6,1992,1998,Best Contemporary Folk Album | Best Pop Collaboration With Vocals | Best Traditional Folk Album | Best World Music Album
the civil wars,3,2011,2013,Best Country Duo/Group Performance | Best Folk Album
the clare fischer latin jazz big band,1,2012,2012,Best Latin Jazz Album
the clark sisters,2,2007,2007,Best Gospel Performance | Best Traditional Gospel Album
the clash,1,2002,2002,Best Long Form Music Video
the cranberries,1,2019,2019,Best Rock Album
the del mccoury band,1,2005,2005,Best Bluegrass Album
the delfonics,1,1970,1970,"Best R&B Performance By A Duo Or Group, Vocal Or Instrumental"
the derek trucks band,1,2009,2009,Best Contemporary Blues Album
the doobie brothers,2,1979,1979,"Best Pop Vocal Performance By A Duo, Group Or Chorus | Record Of The Year"
the earls of leicester,1,2014,2014,Best Bluegrass Album
the eurythmics,1,1986,1986,Best Rock Performance By A Duo Or Group With Vocal
the fairfield four,2,1997,2015,Best Roots Gospel Album | Best Traditional Soul Gospel Album
the flaming lips,2,2002,2006,Best Rock Instrumental Performance
the funk brothers,1,2002,2002,"Best Compilation Soundtrack Album For A Motion Picture, Television Or Other Visual Media"
the gaither vocal band,1,1991,1991,Best Southern Gospel Album
the happy goodman family,2,1968,1978,"Best Gospel Performance | Best Gospel Performance, Traditional"
the imperials,4,1975,1981,"Best Gospel Performance (Other Than Soul Gospel) | Best Gospel Performance Contemporary Or Inspirational | Best Gospel Performance, Contemporary Or Inspirational | Best Gospel Performance, Contemporary Or Insprirational"
the infamous stringdusters,1,2017,2017,Best Bluegrass Album
"the jordanaires, larry ford",1,2002,2002,"Best Southern, Country, Or Bluegrass Gospel Album"
the judds,5,1984,1991,Best Country Performance By A Duo Or Group With Vocal
the kendalls,1,1977,1977,Best Country Vocal Performance By A Duo Or Group
the kentucky headhunters,1,1990,1990,Best Country Performance By A Duo Or Group With Vocal
the king's singers,1,2008,2008,Best Classical Crossover Album
the kingston trio,2,1958,1959,Best Country & Western Performance | Best Performance - Folk
the klezmatics,1,2006,2006,Best Contemporary World Music Album
the legends,1,2000,2000,Best Tejano Album
the manhattan transfer,8,1980,1991,"Best Contemporary Jazz Performance | Best Jazz Fusion Performance, Vocal Or Istrumental | Best Jazz Vocal Performance Duo Or Group | Best Jazz Vocal Performance, Duo Or Group | Best Pop Performance By A Duo Or Group With Vocal | Best Pop Vocal Performance By A Duo Or Group With Vocal"
the mars volta,1,2008,2008,Best Hard Rock Performance
the masters v,1,1981,1981,"Best Gospel Performance, Traditional"
the mavericks,1,1995,1995,Best Country Performance By A Duo Or Group With Vocal
the monks of sherab ling monastery,1,2003,2003,Best Traditional World Music Album
the muppets,1,2007,2007,Best Musical Album For Children
the nashville bluegrass band,2,1993,1995,Best Bluegrass Album
the national,1,2017,2017,Best Alternative Music Album
the new christy minstrels,1,1962,1962,Best Performance By A Chorus
the new south,1,1983,1983,Best Country Instrumental Performance
the oak ridge boys,5,1970,1981,"Best Country Performance By A Duo Or Group With Vocal | Best Gospel Performance (Other Than Soul Gospel) | Best Gospel Performance, Traditional"
the okee dokee brothers,2,2012,2019,Best Children'S Album | Best Children'S Music Album
the oscar peterson trio,1,1990,1990,"Best Jazz Instrumental Performance, Group"
the phil woods quartet,1,1983,1983,"Best Jazz Instrumental Performance, Group"
the pointer sisters,2,1974,1984,Best Country Vocal Performance By A Duo Or Group | Best Pop Performance By A Duo Or Group With Vocal
the police,5,1980,1983,Best Pop Performance By A Duo Or Group With Vocal | Best Rock Instrumental Performance | Best Rock Performance By A Duo Or Group With Vocal
the po’ ramblin’ boys,1,2019,2019,Best Bluegrass Album
the robert cray band,3,1987,1999,Best Contemporary Blues Album | Best Contemporary Blues Recording
the rolling stones,3,1994,2017,"Best Music Video, Short Form | Best Rock Album | Best Traditional Blues Album"
the roots,1,1999,1999,Best Rap Performance By A Duo Or Group
the smashing pumpkins,2,1996,1997,Best Hard Rock Performance
the stanley clarke band,1,2010,2010,Best Contemporary Jazz Album
the statler brothers,2,1965,1972,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental) | Best Country Vocal Performance By A Duo Or Group
the steeldrivers,1,2015,2015,Best Bluegrass Album
the temptations,4,1968,2000,"Best R&B Instrumental Performance | Best R&B Vocal Performance By A Duo, Group Or Chorus | Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental | Best Traditional R&B Vocal Album"
the tonight show band,1,1986,1986,"Best Jazz Instrumental Performance, Big Band"
the tony rich project,1,1996,1996,Best R&B Album
the travelin' mccourys,1,2018,2018,Best Bluegrass Album
the vanguard jazz orchestra,1,2008,2008,Best Large Jazz Ensemble Album
the wallflowers,1,1997,1997,Best Rock Performance By A Duo Or Group With Vocal
the war on drugs,1,2017,2017,Best Rock Album
the wayne shorter quartet,1,2018,2018,Best Jazz Instrumental Album
the weeknd,3,2015,2017,Best R&B Performance | Best Urban Contemporary Album
the white stripes,4,2003,2007,Best Alternative Music Album | Best Rock Performance By A Duo Or Group With Vocals
the winans,4,1985,1993,"Best Contemporary Soul Gospel Album | Best Gospel Performance By A Duo Or Group, Choir Or Chorus | Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus"
thelma houston,1,1977,1977,"Best R&B Vocal Performance, Female"
them crooked vultures,1,2010,2010,Best Hard Rock Performance
theo croker,1,2019,2019,Best Contemporary Instrumental Album
they might be giants,1,2008,2008,Best Musical Album For Children
third day,4,2002,2009,Best Pop/Contemporary Gospel Album | Best Rock Gospel Album | Best Rock Or Rap Gospel Album
third world,1,2019,2019,Best Reggae Album
thom yorke,2,2019,2019,Best Alternative Music Album | Best Music Film
thomas rhett,1,2019,2019,Best Country Album
tia carrere,2,2008,2010,Best Hawaiian Music Album
tierney sutton band,1,2019,2019,Best Jazz Vocal Album
tim kubart,1,2015,2015,Best Children'S Album
tim mcgraw,1,2004,2004,Best Male Country Vocal Performance
tim menzies,1,2019,2019,Best Roots Gospel Album
tim o'brien,1,2005,2005,Best Traditional Folk Album
tina turner,6,1984,1988,"Best Pop Vocal Performance, Female | Best Rock Vocal Performance, Female | Record Of The Year"
tinariwen,1,2011,2011,Best World Music Album
tito puente,6,1978,2000,Best Latin Recording | Best Salsa Album | Best Traditional Tropical Latin Performance | Best Tropical Latin Performance
tlc,4,1995,1999,Best R&B Album | Best R&B Performance By A Duo Or Group With Vocal
tobymac,4,2008,2019,Best Contemporary Christian Music Album | Best Rock Or Rap Gospel Album
tom chapin,3,2001,2004,Best Spoken Word Album For Children
tom petty,2,1995,2008,Best Long Form Music Video | Best Male Rock Vocal Performance
tom scott,1,1995,1995,Best Large Jazz Ensemble Performance
tom waits,2,1992,1999,Best Alternative Music Album | Best Contemporary Folk Album
toni braxton,6,1993,2014,"Best Female Pop Vocal Performance | Best Female R&B Vocal Performance | Best R&B Album | Best R&B Vocal Performance, Female"
tony bennett,18,1962,2015,"Album Of The Year | Best Pop Collaboration With Vocals | Best Pop Duo/Group Performance | Best Solo Vocal Performance, Male | Best Traditional Pop Vocal Album | Best Traditional Pop Vocal Performance | Record Of The Year"
tool,3,1997,2019,Best Metal Performance
toots,1,2004,2004,Best Reggae Album
tori kelly,1,2018,2018,Best Gospel Album
toto,2,1982,1982,Album Of The Year | Record Of The Year
tove lo,1,2019,2019,Best Music Video
tracy chapman,2,1988,1988,"Best Contemporary Folk Recording | Best Pop Vocal Performance, Female"
train,1,2010,2010,Best Pop Performance By A Duo Or Group With Vocals
tramaine hawkins,1,1990,1990,Best Traditional Soul Gospel Performance
traveling wilburys,1,1989,1989,Best Rock Performance By A Duo Or Group With Vocal
travis tritt,1,1992,1992,Best Country Vocal Collaboration
trevor noah,1,2019,2019,Best Comedy Album
trisha yearwood,2,1997,1997,Best Country Collaboration With Vocals | Best Female Country Vocal Performance
turtle island quartet,1,2007,2007,Best Classical Crossover Album
turtle island string quartet,1,2005,2005,Best Classical Crossover Album
twenty one pilots,1,2016,2016,Best Pop Duo/Group Performance
tycho,1,2019,2019,Best Dance/Electronic Album
tye tribbett,1,2013,2013,Best Gospel Album
tyler childers,1,2019,2019,Best Country Solo Performance
"tyler, the creator",1,2019,2019,Best Rap Album
u2,18,1987,2005,"Album Of The Year | Best Alternative Music Album | Best Music Video, Long Form | Best Performance Music Video | Best Pop Performance By A Duo Or Group With Vocal | Best Rock Album | Best Rock Performance By A Duo Or Group With Vocal | Best Short Form Music Video | Record Of The Year"
usa for africa,1,1985,1985,Record Of The Year
usa for africa - various artists,2,1985,1985,"Best Music Video, Short Form | Best Pop Performance By A Duo Or Group With Vocal"
usher,8,2001,2012,Best Contemporary R&B Album | Best Male R&B Vocal Performance | Best R&B Performance | Best R&B Performance By A Duo Or Group With Vocals | Best Rap/Sung Collaboration
vampire weekend,3,2013,2019,Album Of The Year | Best Alternative Music Album
van halen,1,1991,1991,Best Hard Rock Performance With Vocal
van mccoy,1,1975,1975,Best Pop Instrumental Performance
vaughan brothers,2,1990,1990,Best Contemporary Blues Recording | Best Rock Instrumental Performance
vaughn meader,2,1962,1962,Album Of The Year (Other Than Classical) | Best Comedy Performance
velvet revolver,1,2004,2004,Best Hard Rock Performance
verdell primeaux,1,2001,2001,Best Native American Music Album
vicente fernández,3,2009,2016,Best Regional Mexican Album | Best Regional Mexican Music Album (Including Tejano)
vicente garcía,1,2019,2019,Best Tropical Latin Album
vikki carr,3,1985,1994,Best Latin Pop Album | Best Mexican-American Performance
vince gill,11,1990,2007,"Best Country Album | Best Country Collaboration With Vocals | Best Country Vocal Performance, Male | Best Male Country Vocal Performance"
walter ostanek,2,1992,1993,Best Polka Album
walter ostanek band,1,1994,1994,Best Polka Album
ward swingle,3,1963,1965,Best Performance By A Chorus
warren zevon,2,2003,2003,Best Contemporary Folk Album | Best Rock Performance By A Duo Or Group With Vocal
waylon jennings,2,1969,1978,Best Country Performance By A Duo Or Group With Vocal | Best Country Vocal Performance By A Duo Or Group
wayne shorter,2,1996,2003,"Best Contemporary Jazz Performance | Best Jazz Instrumental Album, Individual Or Group"
wayne shorter quartet,1,2005,2005,"Best Jazz Instrumental Album, Individual Or Group"
"wayne toups, steve riley",1,2012,2012,Best Regional Roots Music Album
weather report,1,1979,1979,"Best Jazz Fusion Performance, Vocal Or Instrumental"
weezer,1,2008,2008,Best Short Form Music Video
weird al yankovic,4,1984,2014,Best Comedy Album | Best Comedy Recording | Best Concept Music Video
wes montgomery,2,1966,1969,"Best Instrumental Jazz Performance - Group Or Soloist With Group | Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group"
white sun,1,2016,2016,Best New Age Album
whitney houston,6,1985,1999,"Album Of The Year | Best Female R&B Vocal Performance | Best Pop Vocal Performance, Female | Record Of The Year"
whoopi goldberg,1,1985,1985,Best Comedy Recording
wilco,1,2004,2004,Best Alternative Music Album
will ackerman,1,2004,2004,Best New Age Album
will smith,2,1997,1998,Best Rap Solo Performance
william bell,1,2016,2016,Best Americana Album
william murphy,1,2019,2019,Best Gospel Album
william warfield,1,1983,1983,Best Spoken Word Or Non-Musical Recording
willie dixon,1,1988,1988,Best Traditional Blues Recording
willie nelson,8,1975,2019,"Best Country Collaboration With Vocals | Best Country Solo Performance | Best Country Vocal Performance, Male | Best Traditional Pop Vocal Album"
willy chirino,1,2005,2005,Best Salsa/Merengue Album
wisin y yandel,1,2008,2008,Best Latin Urban Album
wolfmother,1,2006,2006,Best Hard Rock Performance
woody herman,3,1963,1974,Best Instrumental Jazz Performance - Large Group | Best Jazz Performance By A Big Band
wynton marsalis,2,1986,1987,"Best Jazz Instrumental Performance, Group"
wynton marsalis group,1,1985,1985,"Best Jazz Instrumental Performance, Group"
"wynton marsalis, graham greene",1,1999,1999,Best Spoken Word Album For Children
ybn cordae,1,2019,2019,Best Rap Album
yellowjackets,2,1986,1988,"Best Jazz Fusion Performance | Best R&B Instrumental Performance (Orchestra, Group Or Soloist)"
yes,1,1984,1984,Best Rock Instrumental Performance
yo-yo ma,3,2003,2016,Best Classical Crossover Album | Best World Music Album
"yo-yo ma, edgar meyer, mark o'connor",1,2000,2000,Best Classical Crossover Album
"yo-yo ma, jorge calandrelli, conductor",1,1998,1998,Best Classical Crossover Album
"yo-yo ma, stuart duncan, edgar meyer",1,2012,2012,Best Folk Album
yola,2,2019,2019,Best American Roots Performance | Best Americana Album
yolanda adams,3,1999,2006,Best Contemporary Soul Gospel Album | Best Gospel Performance
young mc,1,1989,1989,Best Rap Performance
young thug,1,2019,2019,Best Rap/Sung Performance
youssou n'dour,1,2004,2004,Best Contemporary World Music Album
yusef lateef,1,1987,1987,Best New Age Performance
zac brown band,2,2010,2012,Best Country Album | Best Country Collaboration With Vocals
