artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
count basie,8,1958,1984,"Best Jazz Instrumental Performance, Big Band | Best Jazz Performance By A Big Band | Best Jazz Performance, Group | Best Performance By A Band For Dancing | Best Performance By A Dance Band | Best Performance By An Orchestra - For Dancing"
"count basie orchestra; grover mitchell, director",1,1998,1998,Best Large Jazz Ensemble Performance
crowder,1,2019,2019,Best Contemporary Christian Music Album
crystal gayle,1,1977,1977,"Best Country Vocal Performance, Female"
cécile mclorin salvant,3,2015,2018,Best Jazz Vocal Album
d'angelo,2,2000,2000,Best Male R&B Vocal Performance | Best R&B Album
d'angelo and the vanguard,1,2015,2015,Best R&B Album
d.j. jazzy jeff,2,1988,1991,Best Rap Performance | Best Rap Performance By A Duo Or Group
dababy,1,2019,2019,Best Rap Performance
dafnis prieto big band,1,2018,2018,Best Latin Jazz Album
daft punk,6,2008,2013,Album Of The Year | Best Dance Recording | Best Dance/Electronica Album | Best Electronic/Dance Album | Best Pop Duo/Group Performance | Record Of The Year
"damian ""jr. gong"" marley",1,2017,2017,Best Reggae Album
damian marley,3,2001,2005,Best Reggae Album | Best Urban/Alternative Performance
dan + shay,2,2018,2019,Best Country Duo/Group Performance
"dan tyminski, harley allen",1,2001,2001,Best Country Collaboration With Vocals
dan zanes and friends,1,2006,2006,Best Musical Album For Children
daniel caesar,1,2019,2019,Best R&B Performance
daniel tashian,1,2019,2019,Best Children'S Music Album
daniel winans,1,1989,1989,"Best Soul Gospel Vocal Performance Duo, Group, Choir Or Chorus"
danny gokey,1,2019,2019,Best Contemporary Christian Music Album
darius rucker,1,2013,2013,Best Country Solo Performance
"darlene love, merry clayton, lisa fischer",1,2014,2014,Best Music Film
dave alvin,1,2000,2000,Best Traditional Folk Album
dave chappelle,3,2017,2019,Best Comedy Album
dave grohl,1,2013,2013,Best Compilation Soundtrack For Visual Media
dave holland big band,2,2002,2005,Best Large Jazz Ensemble Album
dave matthews,1,2003,2003,Best Male Rock Vocal Performance
dave matthews band,1,1996,1996,Best Rock Performance By A Duo Or Group With Vocal
david arkenstone,1,2019,2019,Best New Age Album
